#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs,Type
192,Chester's Beer (2005),Cottrell Brewing,"Pawcatuck, CT",American Pale Lager,12 oz.,3.80%,N/A,Lager
193,Choc Beer (2003),Krebs Brewing Company (Pete's Pl...,"Krebs, OK",American Dark Wheat Ale,12 oz.,4%,9,Ale
194,Chomo-Lung-Ma Organic Honey Nut Brown,Jackie O's Pub & Brewery,"Athens, OH",English Brown Ale,12 oz.,6.70%,N/A,Ale
195,Chugach Session Ale,Broken Tooth Brewing Company,"Anchorage, AK",Cream Ale,12 oz.,4.80%,N/A,Ale
196,Churchkey Pilsner Style Beer,Churchkey Can Company,"Seattle, WA",American Pilsner,12 oz.,4.90%,29,Pilsner
197,Circuit Bohemian Pilsner,Tin Man Brewing Company,"Evansville, IN",Czech Pilsener,16 oz.,4.50%,35,Other
198,CoCoNut Porter,Maui Brewing Company,"Lahaina, HI",American Porter,12 oz.,5.70%,30,Other
199,Coffee Bender,Surly Brewing Company,"Brooklyn Center, MN",American Brown Ale,16 oz.,5.10%,45,Ale
200,Cold Smoke Scotch Ale,Kettle House Brewing Company,"Missoula, MT",Scotch Ale / Wee Heavy,16 oz.,6.50%,11,Ale
201,Cold Smoke Scotch Ale (2007),Kettle House Brewing Company,"Missoula, MT",Scotch Ale / Wee Heavy,16 oz.,6.50%,11,Ale
202,Colorado Kölsch,Steamworks Brewing Company,"Durango, CO",Kölsch,12 oz.,4.90%,17,Other
203,Colorado Native (2011),AC Golden Brewing Company,"Golden, CO",American Amber / Red Lager,12 oz.,5.50%,26,Lager
204,Colorado Native,AC Golden Brewing Company,"Golden, CO",American Amber / Red Lager,12 oz.,5.50%,26,Lager
205,Colorado Red Ale,Revolution Brewing,"Paonia, CO",American Amber / Red Ale,12 oz.,6.20%,N/A,Ale
206,Contemplation,Brewery Vivant,"Grand Rapids, MI",Bière de Garde,16 oz.,6.50%,N/A,Other
207,Copper Hook (2011),Redhook Brewery,"Woodinville, WA",American Amber / Red Ale,12 oz.,5.80%,27,Ale
208,Cornerstone IPA,Rochester Mills Brewing Company,"Rochester, MI",American IPA,16 oz.,7%,N/A,IPA
209,Cornstalker Dark Wheat,Thunderhead Brewing Company,"Kearney, NE",American Dark Wheat Ale,12 oz.,???,N/A,Ale
210,Country Pale Ale,Wachusett Brewing Company,"Westminster, MA",English Pale Ale,12 oz.,5.10%,17,Ale
211,Crabtree Oatmeal Stout,Crabtree Brewing Company,"Greeley, CO",Oatmeal Stout,16 oz.,7.50%,29,Stout
212,Crank Yanker IPA,Eddyline Brewery & Restaurant,"Buena Vista, CO",American IPA,16 oz.,7.80%,74,IPA
213,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,"Edwards, CO",American Amber / Red Ale,12 oz.,5.20%,25,Ale
214,Cream Dream V: I Thought We Were Buddies…,Sun King Brewing Company,"Indianapolis, IN",American Double / Imperial IPA,16 oz.,9%,100,IPA
215,CuDa Cascadian Dark Ale,Natian Brewery,"Portland, OR",American Black Ale,16 oz.,7.40%,N/A,Ale
216,Cut Throat Pale Ale (2011),Finch's Beer Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.50%,N/A,Ale
217,Cut Throat Pale Ale,Finch's Beer Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.50%,N/A,Ale
218,Cutthroat Pale Ale,Uinta Brewing Company,"Salt Lake City, UT",American Pale Ale (APA),12 oz.,4%,34,Ale
219,CynicAle,Surly Brewing Company,"Brooklyn Center, MN",Saison / Farmhouse Ale,16 oz.,6.70%,33,Ale
220,Czech Pilsner,Bohemian Brewery,"Midvale, UT",Czech Pilsener,12 oz.,5%,N/A,Other
221,Dagger Falls IPA,Sockeye Brewing Company,"Boise, ID",American IPA,12 oz.,6.30%,100,IPA
222,Daisy Cutter Pale Ale,Half Acre Beer Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.20%,N/A,Ale
223,Dale's Pale Ale,Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
224,Dale's Pale Ale (2002),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
225,Dale's Pale Ale (2004),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
226,Dale's Pale Ale (2003),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
227,Dale's Pale Ale (2006),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
228,Dale's Pale Ale (2008),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
229,Dale's Pale Ale (2010),Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
230,Dale's Pale Ale (2011),Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
231,Dale's Pale Ale (2012),Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
232,Dale's Pale Ale,Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),19.2 oz.,6.50%,65,Ale
233,Dale's Pale Ale,Oskar Blues Brewery,"Brevard, NC",American Pale Ale (APA),12 oz.,6.50%,65,Ale
234,Dale's Pale Ale,Oskar Blues Brewery,"Brevard, NC",American Pale Ale (APA),19.2 oz.,6.50%,65,Ale
235,Dale's Pale Ale (10 Year Anniversary),Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
236,Dallas Blonde,Deep Ellum Brewing Company,"Dallas, TX",American Blonde Ale,12 oz.,5.20%,23,Ale
237,Dank IPA,Dad & Dude's Breweria,"Aurora, CO",American IPA,16 oz.,6.50%,N/A,IPA
238,Davy Jones Lager,Heavy Seas Beer,"Halethorpe, MD",Cream Ale,12 oz.,6%,N/A,Ale
239,DAX Light (1998),Matt Brewing Company,"Utica, NY",Light Lager,12 oz.,4.50%,N/A,Lager
240,Day Tripper Pale Ale,Indeed Brewing Company,"Minneapolis, MN",American Pale Ale (APA),12 oz.,5.40%,45,Ale
241,Dead Horse Amber,Moab Brewery,"Moab, UT",American Pale Wheat Ale,16 oz.,4%,N/A,Ale
242,Deadicated Amber,Devil's Canyon Brewery,"Belmont, CA",American Amber / Red Ale,16 oz.,5.40%,27,Ale
243,Deep Ellum IPA,Deep Ellum Brewing Company,"Dallas, TX",American IPA,12 oz.,7%,70,IPA
244,Deez Melons,Southern Prohibition Brewing Com...,"Hattiesburg, MS",Fruit / Vegetable Beer,16 oz.,???,N/A,Other
245,Demshitz Brown Ale,Bonfire Brewing Company,"Eagle, CO",American Brown Ale,12 oz.,5.80%,N/A,Ale
246,Des Moines IPA,Confluence Brewing Company,"Des Moines, IA",American IPA,16 oz.,6.80%,75,IPA
247,Descender IPA,Good Life Brewing Company,"Bend, OR",American IPA,12 oz.,7%,70,IPA
248,Desert Magic IPA,Mudshark Brewing Company,"Lake Havasu City, AZ",American IPA,12 oz.,7.20%,N/A,IPA
249,Desolation IPA,Amnesia Brewing Company,"Portland, OR",American IPA,16 oz.,6.20%,43,IPA
250,Deviant Dale's IPA,Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,16 oz.,8%,N/A,IPA
251,Devil's Harvest Extra Pale Ale,Southern Prohibition Brewing Com...,"Hattiesburg, MS",American Pale Ale (APA),16 oz.,???,N/A,Ale
252,Devil’s Ale (2010),SanTan Brewing Company,"Chandler, AZ",American Pale Ale (APA),12 oz.,5.50%,45,Ale
253,Devil’s Ale,SanTan Brewing Company,"Chandler, AZ",American Pale Ale (APA),12 oz.,5.50%,45,Ale
254,Devils Tramping Ground Tripel,Aviator Brewing Company,"Fuquay-Varina, NC",Tripel,12 oz.,9.20%,5,Other
255,Diesel,Sixpoint Craft Ales,"Brooklyn, NY",American Stout,16 oz.,6.30%,69,Stout
256,Dirty Blonde Ale,Atwater Brewery,"Detroit, MI",American Blonde Ale,12 oz.,4.50%,8,Ale
257,Dirty Hippie Dark Wheat,Palisade Brewing Company,"Palisade, CO",American Dark Wheat Ale,12 oz.,5.30%,N/A,Ale
258,Disconnected Red,Big Choice Brewing,"Broomfield, CO",American Amber / Red Ale,16 oz.,6.70%,85,Ale
259,Dock Street Amber Beer (1992),Dock Street Brewery,"Philadelphia, PA",American Amber / Red Ale,12 oz.,???,N/A,Ale
260,Dolores River Dry Stout,Dolores River Brewery,"Dolores, CO",Irish Dry Stout,16 oz.,???,N/A,Stout
261,Dolores River ESB,Dolores River Brewery,"Dolores, CO",Extra Special / Strong Bitter (ESB),16 oz.,???,N/A,Other
262,Dolores River Hefeweizen,Dolores River Brewery,"Dolores, CO",Hefeweizen,16 oz.,???,N/A,Other
263,Dolores River Mild,Dolores River Brewery,"Dolores, CO",English Dark Mild Ale,16 oz.,???,N/A,Ale
264,Dolores River Pale Ale,Dolores River Brewery,"Dolores, CO",American Pale Ale (APA),16 oz.,???,N/A,Ale
265,Dottie Seattle Lager,Emerald City Beer Company,"Seattle, WA",American Amber / Red Lager,16 oz.,4.90%,25,Lager
266,Double Bag,Long Trail Brewing Company,"Bridgewater Corners, VT",Altbier,16 oz.,7.20%,33,Other
267,Double D Blonde,Hop Valley Brewing Company,"Springfield, OR",American Blonde Ale,12 oz.,4.90%,20,Ale
268,Double Haul IPA,Kettle House Brewing Company,"Missoula, MT",American IPA,16 oz.,6.50%,65,IPA
269,Double Haul IPA (2006),Kettle House Brewing Company,"Missoula, MT",American IPA,16 oz.,6.50%,65,IPA
270,Double Haul IPA (2009),Kettle House Brewing Company,"Missoula, MT",American IPA,16 oz.,6.50%,65,IPA
271,Downpour,Foolproof Brewing Company,"Pawtucket, RI",American Porter,12 oz.,6.50%,N/A,Other
272,Draught Hard Apple Cider,Uncle John's Fruit House Winery,"St. John's, MI",Cider,16 oz.,6.50%,N/A,Other
273,Drop Dead Blonde,Stevens Point Brewery,"Stevens Point, WI",American Blonde Ale,12 oz.,3.50%,N/A,Ale
274,Dry Dock Amber Ale,Dry Dock Brewing Company,"Aurora, CO",American Amber / Red Ale,12 oz.,5.80%,49,Ale
275,Dry Dock Hefeweizen,Dry Dock Brewing Company,"Aurora, CO",Hefeweizen,12 oz.,4.30%,12,Other
276,Dry Heat Hefeweizen (2006),Mudshark Brewing Company,"Lake Havasu City, AZ",Hefeweizen,12 oz.,5.50%,N/A,Other
277,Duckpin Pale Ale,Union Craft Brewing,"Baltimore, MD",American Pale Ale (APA),12 oz.,5.50%,N/A,Ale
278,Dundee Summer Wheat Beer,Dundee Brewing Company,"Rochester, NY",American Pale Wheat Ale,12 oz.,4.50%,18,Ale
279,Dunkel Lager,Sly Fox Brewing Company,"Phoenixville, PA",Munich Dunkel Lager,12 oz.,5.30%,21,Lager
280,East India Pale Ale,Brooklyn Brewery,"Brooklyn, NY",English India Pale Ale (IPA),12 oz.,6.80%,47,IPA
281,Easy Rider Pale Ale,Lucette Brewing Company,"Menominie, WI",American Pale Ale (APA),16 oz.,5.20%,N/A,Ale
282,Eclipse Black IPA,Crabtree Brewing Company,"Greeley, CO",American Black Ale,16 oz.,7.70%,71,Ale
283,Eddy Out Pale Ale,Kettle House Brewing Company,"Missoula, MT",American Pale Ale (APA),16 oz.,5.50%,50,Ale
284,Elder Betty,Magic Hat Brewing Company,"South Burlington, VT",Hefeweizen,12 oz.,5.50%,13,Other
285,Elevated IPA,La Cumbre Brewing Company,"Albuquerque, NM",American IPA,16 oz.,7.20%,100,IPA
286,Elevation Triple India Pale Ale,Renegade Brewing Company,"Denver, CO",American Double / Imperial IPA,12 oz.,11%,100,IPA
287,Ellie’s Brown Ale,Avery Brewing Company,"Boulder, CO",American Brown Ale,12 oz.,5.50%,17,Ale
288,Elm City Lager (2007),New England Brewing Company,"Woodbridge, CT",American Pilsner,12 oz.,5%,N/A,Pilsner
289,Elm City Pilsner,New England Brewing Company,"Woodbridge, CT",American Pilsner,12 oz.,5%,N/A,Pilsner
290,Endless Summer Ale,Old Forge Brewing Company,"Danville, PA",American Pale Wheat Ale,16 oz.,4.80%,N/A,Ale
291,EOS Hefeweizen,Nebraska Brewing Company,"Papillion, NE",Hefeweizen,12 oz.,4.80%,10,Other
292,Epic IPA,Mammoth Brewing Company,"Mammoth Lakes, CA",American IPA,12 oz.,6.50%,N/A,IPA
293,Epicenter Amber Ale (2010),SanTan Brewing Company,"Chandler, AZ",American Amber / Red Ale,12 oz.,5.50%,20,Ale
294,Epicenter Amber Ale,SanTan Brewing Company,"Chandler, AZ",American Amber / Red Ale,12 oz.,5.50%,20,Ale
295,ESB Special Ale,Ska Brewing Company,"Durango, CO",Extra Special / Strong Bitter (ESB),12 oz.,5.70%,58,Other
296,Escoffier Bretta Ale,Brewery Vivant,"Grand Rapids, MI",American Wild Ale,16 oz.,9.20%,N/A,Ale
297,Eugene Porter,Revolution Brewing Company,"Chicago, IL",American Porter,12 oz.,6.80%,28,Other
298,Euphoria Pale Ale,Ska Brewing Company,"Durango, CO",American Pale Ale (APA),12 oz.,6.10%,N/A,Ale
299,Evolutionary IPA (2011),Two Beers Brewing Company,"Seattle, WA",American IPA,12 oz.,6.20%,70,IPA
300,Evolutionary IPA,Two Beers Brewing Company,"Seattle, WA",American IPA,12 oz.,6.20%,70,IPA
301,Ex Umbris Rye Imperial Stout,Hess Brewing Company,"San Diego, CA",American Double / Imperial Stout,16 oz.,10%,85,Stout
302,Expedition Amber Ale,Harmon Brewing Company,"Tacoma, WA",American Amber / Red Ale,16 oz.,???,N/A,Ale
303,Face Down Brown Ale,Telluride Brewing Company,"Telluride, CO",American Brown Ale,12 oz.,5.70%,N/A,Ale
304,Fairweather IPA,Broken Tooth Brewing Company,"Anchorage, AK",American IPA,12 oz.,6.10%,64,IPA
305,Farm Girl Saison,Lift Bridge Brewing Company,"Stillwater, MN",Saison / Farmhouse Ale,16 oz.,6%,30,Ale
306,Farm Hand,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,5.50%,N/A,Ale
307,Farmer Brown Ale,Great River Brewery,"Davenport, IA",American Brown Ale,16 oz.,7%,22,Ale
308,Farmer John's Multi-Grain Ale,Confluence Brewing Company,"Des Moines, IA",American Blonde Ale,16 oz.,5.60%,21,Ale
309,Farmer Ted's Farmhouse Cream Ale,Catawba Valley Brewing Company,"Morganton, NC",Cream Ale,12 oz.,5.60%,N/A,Ale
310,Fascist Pig Ale,Finch's Beer Company,"Chicago, IL",American Amber / Red Ale,16 oz.,8%,72,Ale
311,Fat Tire Amber Ale,New Belgium Brewing Company,"Fort Collins, CO",American Amber / Red Ale,12 oz.,5.20%,N/A,Ale
312,Fat Tire Amber Ale,New Belgium Brewing Company,"Fort Collins, CO",American Amber / Red Ale,16 oz.,5.20%,N/A,Ale
313,Fat Tire Amber Ale (2011),New Belgium Brewing Company,"Fort Collins, CO",American Amber / Red Ale,12 oz.,5.20%,N/A,Ale
314,Fearless Scottish Ale,Fearless Brewing Company,"Estacada, OR",Scottish Ale,16 oz.,5%,N/A,Ale
315,Festie,Starr Hill Brewery,"Crozet, VA",Märzen / Oktoberfest,12 oz.,4.80%,12,Other
316,Field 41 Pale Ale,Bale Breaker Brewing Company,"Moxee, WA",American Pale Ale (APA),12 oz.,4.40%,38,Ale
317,Fire Eagle IPA,Austin Beerworks,"Austin, TX",American IPA,12 oz.,6.20%,N/A,IPA
318,Firefly Amber Ale,Jackie O's Pub & Brewery,"Athens, OH",American Amber / Red Ale,12 oz.,5%,N/A,Ale
319,Firemans #4 Blonde Ale,Real Ale Brewing Company,"Blanco, TX",American Blonde Ale,12 oz.,5.10%,21,Ale
320,Fireside Chat (2010),21st Amendment Brewery,"San Francisco, CA",Winter Warmer,12 oz.,7.90%,45,Other
321,Fireside Chat,21st Amendment Brewery,"San Francisco, CA",Winter Warmer,12 oz.,7.90%,45,Other
322,Firestarter India Pale Ale,Bonfire Brewing Company,"Eagle, CO",American IPA,16 oz.,6.60%,72,IPA
323,Firewater India Pale Ale,Catawba Valley Brewing Company,"Morganton, NC",American IPA,12 oz.,5.20%,N/A,IPA
324,Fistmas Ale,Revolution Brewing Company,"Chicago, IL",Herbed / Spiced Beer,12 oz.,6.10%,31,Other
325,Flagship Ale,Grey Sail Brewing of Rhode Island,"Westerly, RI",Cream Ale,12 oz.,4.90%,22,Ale
326,Flagship IPA,Carolina Brewery,"Pittsboro, NC",English India Pale Ale (IPA),12 oz.,5.70%,N/A,IPA
327,Flaming Damsel Lager (2010),Milwaukee Brewing Company,"Milwaukee, WI",Vienna Lager,16 oz.,4.80%,18,Lager
328,Floppin' Crappie,Northwoods Brewpub,"Eau Claire, WI",American Pale Wheat Ale,12 oz.,4.50%,N/A,Ale
329,Florida Cracker Belgian Wit,Cigar City Brewing Company,"Tampa, FL",Witbier,12 oz.,5%,18,Other
330,Flyin' HI.P.Hay,Maui Brewing Company,"Lahaina, HI",American IPA,12 oz.,6.80%,68,IPA
331,Flying Jenny Extra Pale Ale,Grey Sail Brewing of Rhode Island,"Westerly, RI",American Pale Ale (APA),12 oz.,6%,54,Ale
332,Forest Ale,Big Wood Brewery,"Vadnais Heights, MN",American Pale Ale (APA),16 oz.,5%,N/A,Ale
333,Fountain House Light,Doylestown Brewing Company,"Doylestown, PA",Light Lager,12 oz.,4.30%,N/A,Lager
334,Four Squared,Real Ale Brewing Company,"Blanco, TX",American Blonde Ale,12 oz.,6%,50,Ale
335,Fox Tail Gluten Free Ale,Joseph James Brewing Company,"Henderson, NV",American Pale Ale (APA),12 oz.,5%,50,Ale
336,Frankenlou's IPA,Seven Brides Brewery,"Silverton, OR",American IPA,16 oz.,7%,105,IPA
337,Freestyle Pilsner,Santa Fe Brewing Company,"Santa Fe, NM",German Pilsener,12 oz.,5.50%,N/A,Other
338,Fremont Organic Pale Ale,Fremont Brewing Company,"Seattle, WA",American Pale Ale (APA),12 oz.,4.50%,N/A,Ale
339,Fremont Summer Ale,Fremont Brewing Company,"Seattle, WA",American Pale Ale (APA),12 oz.,6.50%,45,Ale
340,Frosted Fields Winter Wheat,Great Crescent Brewery,"Aurora, IN",American Dark Wheat Ale,16 oz.,6%,25,Ale
341,Full Boar Scotch Ale,Devil's Canyon Brewery,"Belmont, CA",Scotch Ale / Wee Heavy,16 oz.,7.40%,12,Ale
342,Full Moon Belgian White Ale (2007),Mudshark Brewing Company,"Lake Havasu City, AZ",Witbier,12 oz.,8.50%,N/A,Other
343,Full Moon Belgian White Ale,Mudshark Brewing Company,"Lake Havasu City, AZ",Witbier,12 oz.,8.50%,N/A,Other
344,Full Nelson Pale Ale,Blue Mountain Brewery,"Afton, VA",American Pale Ale (APA),12 oz.,5.90%,60,Ale
345,Furious,Surly Brewing Company,"Brooklyn Center, MN",American IPA,16 oz.,6.20%,99,IPA
346,G'KNIGHT (12 oz.),Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,12 oz.,8.70%,85,IPA
347,G'KNIGHT (16 oz.),Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,16 oz.,8.70%,85,IPA
348,Galena Golden,Sockeye Brewing Company,"Boise, ID",American Blonde Ale,12 oz.,4.30%,N/A,Ale
349,Gandhi-Bot Double IPA (12 oz.),New England Brewing Company,"Woodbridge, CT",American Double / Imperial IPA,12 oz.,8.80%,85,IPA
350,Gandhi-Bot Double IPA (16 oz.) (2010),New England Brewing Company,"Woodbridge, CT",American Double / Imperial IPA,16 oz.,8.80%,85,IPA
351,Gangway IPA,Red Hare Brewing Company,"Marietta, GA",American IPA,12 oz.,6.20%,N/A,IPA
352,Gerry Dog Stout,Big Elm Brewing,"Sheffield, MA",American Stout,12 oz.,6.50%,N/A,Stout
353,Get Up Offa That Brown,Golden Road Brewing,"Los Angeles, CA",American Brown Ale,16 oz.,5.50%,N/A,Ale
354,Gnarly Brown,Madtree Brewing Company,"Cincinnati, OH",American Brown Ale,12 oz.,7%,N/A,Ale
355,Golden Frau Honey Wheat,Thunderhead Brewing Company,"Kearney, NE",Braggot,12 oz.,7.50%,N/A,Other
356,Golden Pilsner,Morgan Street Brewery,"Saint Louis, MO",German Pilsener,12 oz.,5%,35,Other
357,Golden Road Hefeweizen,Golden Road Brewing,"Los Angeles, CA",Hefeweizen,16 oz.,4.60%,N/A,Other
358,Golden State Ale,Uncommon Brewers,"Santa Cruz, CA",Belgian Pale Ale,16 oz.,6.40%,N/A,Ale
359,Golden Trout Pilsner,Mammoth Brewing Company,"Mammoth Lakes, CA",German Pilsener,12 oz.,4.20%,N/A,Other
360,Golden Wing Blonde Ale,Finch's Beer Company,"Chicago, IL",American Blonde Ale,16 oz.,4.70%,N/A,Ale
361,Good People American Brown Ale,Good People Brewing Company,"Birmingham, AL",American Brown Ale,12 oz.,5.80%,36,Ale
362,Good People IPA,Good People Brewing Company,"Birmingham, AL",American IPA,12 oz.,6%,64,IPA
363,Good People Pale Ale,Good People Brewing Company,"Birmingham, AL",American Pale Ale (APA),12 oz.,5.60%,36,Ale
364,Gordon (2005),Oskar Blues Brewery,"Lyons, CO",American Double / Imperial IPA,12 oz.,9.20%,85,IPA
365,Gordon Ale (2009),Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,12 oz.,8.70%,85,IPA
366,Gordon Beer (2006),Oskar Blues Brewery,"Lyons, CO",American Double / Imperial IPA,12 oz.,8.70%,60,IPA
367,Gordon Imperial Red (2010),Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,12 oz.,8.70%,85,IPA
368,Gossamer Golden Ale,Half Acre Beer Company,"Chicago, IL",American Blonde Ale,16 oz.,4.20%,N/A,Ale
369,Grand Canyon American Pilsner,Grand Canyon Brewing Company,"Williams, AZ",American Pisner,12 oz.,5.20%,N/A,Other
370,Grand Canyon Sunset Amber Ale,Grand Canyon Brewing Company,"Williams, AZ",American Amber / Red Ale,12 oz.,5.40%,N/A,Ale
371,Grand Circus IPA,Atwater Brewery,"Detroit, MI",American IPA,12 oz.,5%,62,IPA
372,Grapefruit Jungle (GFJ),Sun King Brewing Company,"Indianapolis, IN",American IPA,16 oz.,7.50%,N/A,IPA
373,Grateful White,Rivertowne Brewing Company,"Export, PA",Witbier,12 oz.,6.10%,N/A,Other
374,Great Crescent Belgian Style Wit,Great Crescent Brewery,"Aurora, IN",Witbier,16 oz.,5.10%,13,Other
375,Great Crescent Blonde Ale,Great Crescent Brewery,"Aurora, IN",American Blonde Ale,16 oz.,5.30%,22,Ale
376,Great Crescent Brown Ale,Great Crescent Brewery,"Aurora, IN",American Brown Ale,16 oz.,4.50%,36,Ale
377,Great Crescent Coconut Porter,Great Crescent Brewery,"Aurora, IN",American Porter,16 oz.,5.60%,33,Other
378,Great Crescent Dark Lager,Great Crescent Brewery,"Aurora, IN",Euro Dark Lager,16 oz.,5.70%,23,Lager
379,Great Crescent India Pale Ale,Great Crescent Brewery,"Aurora, IN",American IPA,16 oz.,???,N/A,IPA
380,Great Crescent Mild Ale,Great Crescent Brewery,"Aurora, IN",English Dark Mild Ale,16 oz.,4.20%,26,Ale
